priref,Object Number,Object Name,Scientific Name,Description,Collector Name,Collection Place,OS Grid Ref,Stratigraphy Unit,Stratigraphy Type,Image URL,Latitude,Longitude
56486,G.14826,Graptolite,Neodiversograptus nilssoni,"Fossilised remains of the Silurian graptolite Neodiversograptus nilssoni,. Locality unknown.",unknown,Unknown,unknown,Silurian Period; Ludlow Series; Middle Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14826.jpg,null,null
56491,G.14828,Graptolite,Neodiversograptus nilssoni,Fossilised remains of the Silurian graptolite Neodiversograptus nilssoni. Found near Aston Pitch.,unknown,Aston Pitch,unknown,Silurian Period; Ludlow Series; Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14828.jpg,null,null
56515,G.14833,Graptolite,Saetograptus leintwardinensis,"Fossilised fragments of Silurian graptolite found at Church Hill, Leintwardine","Smith, R.",Church Hill; Leintwardine,unknown,Silurian Period; Ludlow Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14833b.jpg,null,null
56518,G.14836.001,Gastropod,Bembexia sp.,"Fossilised remains of the Silurian gastropod Bembexia sp. Found by Snape, M.G. at Ludford, near Ludlow.","Snape, M.G.",Ludford,SO500730,Silurian Period; Ludlow Series; Whitcliffe Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14836.001.jpg,52.3523992916019,-2.7341803887164717
56519,G.14836.002,Gastropod,Bembexia sp.,"Fossilised remains of the Silurian gastropod Bembexia sp. Found by Snape, M. G. at Ludford, near Ludlow. Counterpart to G.14836.001.","Snape, M.G.",Ludford,SO500730,Silurian Period; Ludlow Series; Whitcliffe Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14836.002.jpg,52.3523992916019,-2.7341803887164717
56625,G.14868,Gastropod,Acroculia sp.,"Fossilised shell remains of the Silurian gastropod Acroculia sp. found at Wrens Nest, Dudley.","Rowlands, Maggie",Wren's Nest; Dudley,unknown,Silurian Period; Wenlock Series; Much Wenlock Limestone Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14868.jpg,null,null
56726,G.14893,BIVALVE; Gastropod,Platyschisma helicites; Modiolopsis complanata,"Fossilised remains of the Silurian gastropod Platyschisma helicites; bivalve Modiolopsis complenata, with ostracods and other fossil remains. Found at Ludford, Ludlow.",unknown,Ludford,unknown,Silurian Period; Pridoli Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14893.jpg,null,null
56807,G.14923,Gastropod,Platyschisma helicites; Modiolopsis complanata,Fossilised remains of the Silurian gastropod Platyschisma helicites and the and bivalve Modiolopsis complanata. Found at Clun. Preserved as internal casts and moulds.,unknown,Clun,unknown,Silurian Period; Pridoli Series,Chronostratigraphy; Chronostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14923a.jpg,null,null
56824,G.14938,Gastropod,Loxonema sp.,Fossilised remains of the Silurian gastropod Loxonema sp. Found near Burrington.,unknown,Burrington,SO440710,Silurian Period; Wenlock Series; Coalbrookdale Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14938.jpg,52.333838556771404,-2.8219392088560706
56826,G.14940,Gastropod,Loxonema sinuosa,Fossilised remains of the Silurian gastropod Loxonema sinuosa. Found at Upper Millichope.,"Wood, B.",Upper Millichope,SO520890,Silurian Period; Ludlow Series; Middle Elton Formation,Chronostratigraphy; Chronostratigraphy; Lithostratigraphy,https://github.com/NaturalHistoryMuseum/LudlowMuseumImgs/raw/master/G.14940.jpg,52.49642462983458,-2.707113549219267
